English,eng
French,fre
Chinese,chi
German,ger
Spanish,spa
Portuguese,por
Russian,rus
Italian,ita
Japanese,jpn
Turkish,tur
Czech,cze
Croatian,hrv
Slovenian,slv
Dutch,dut
Hungarian,hun
Slovak,slo
Estonian,est
Persian,per
Romanian,rum
Korean,kor
Swedish,swe
Afrikaans,afr
Lithuanian,lit
Danish,dan
Norwegian,nor
Bosnian,bos
Serbian,srp
Catalan,cat
Finnish,fin
Arabic,ara
Malay,may
Hebrew,heb
Ukrainian,ukr
Greek,gre
"Greek, Modern",gre
Bulgarian,bul
Indonesian,ind
Latvian,lav
Thai,tha
Icelandic,ice
Azerbaijani,aze
Bengali,ben
Georgian,geo
Tagalog,tgl
Basque,baq
Esperanto,epo
Hindi,hin
Mongolian,mon
